,A2A,AMPLIFON,AVIO,AZIMUT,BCA_MEDIOLANUM,BCA_MPS,BCO_BPM,BPER_BANCA,BRUNELLO CUC,BUZZI,CAMPARI,DIASORIN,ENEL,ENI,FERRARI,FINCANTIERI,FINECOBANK,GENERALI,HERA,INTESA SP,INWIT,ITALGAS,LEONARDO,MEDIOBANCA,MONCLER,POSTE IT,PRYSMIAN,RECORDATI,SAIPEM,SNAM,STELLANTIS,STMICROELECTRONICS,TELECOM IT,TENARIS,TERNA,UNICREDIT,UNIPOL
A2A,1.0,0.3179272582299992,0.20362911784388268,0.47295048318643035,0.4357324530263881,0.04860816349461371,0.3698575680476688,0.3623286831248482,0.24023966472535338,0.33427298397762334,0.3323561915933925,0.20487266093316575,0.6625885283651063,0.45859137849271364,0.3261747897509336,0.27661826240842674,0.38988272948586605,0.549807224354806,0.7229079530645214,0.4778220003781493,0.40938056806663053,0.6883789815374105,0.3558773164091069,0.434682035695858,0.3700456075347119,0.5331581171827051,0.35215262780485246,0.4386900386314611,0.2109352384130045,0.6258041431528197,0.33737086640149866,0.29984713402166796,0.3448877163092249,0.30669846303123743,0.6121712966235523,0.3711357098094751,0.46112189368708895
AMPLIFON,0.3179272582299992,1.0,0.12993988971438297,0.3162819669196344,0.2699960496775512,-0.009380991011210017,0.17665425828714185,0.1670070024410848,0.2742905606410666,0.22778325905252675,0.3610001736255678,0.37967475713174975,0.3348529635428646,0.17715473926074854,0.36257263910933485,0.14251674559393424,0.25420466953868665,0.2498272455846496,0.33006264942181246,0.2455803192436285,0.3020374847332983,0.2829005384903943,0.15496289192608412,0.2732433909653219,0.37002196408153787,0.3308823197929338,0.3003704394485974,0.43054370191329094,0.10570232852828926,0.3264883471715081,0.2817466378299236,0.3129736149955699,0.19221946568812426,0.1387712306068863,0.28666673466901615,0.19903065243145526,0.22033451375957888
AVIO,0.20362911784388268,0.12993988971438297,1.0,0.21190773621383627,0.21280504262393451,-0.01704383692607084,0.19012917456284317,0.1796101984240229,0.11983164036483586,0.20061549787833946,0.09401425733771919,0.07524759753228928,0.17226901250962998,0.17039972912407805,0.16722877253199253,0.2766216014527214,0.2078615488345033,0.2249542067524808,0.20030546386940595,0.21194182114699253,0.12530912908550906,0.1470615691058982,0.3500550632229478,0.19505473781353835,0.15195965382140983,0.258486433221014,0.2463946754052479,0.15084742055358458,0.12248230959501245,0.15930792555656959,0.16491775962010183,0.167322378436794,0.1527393009775878,0.18854894592299146,0.14555222895207742,0.19838073992974914,0.22384731573795227
AZIMUT,0.47295048318643035,0.3162819669196344,0.21190773621383627,1.0,0.7120914161028333,0.032742499789482724,0.5536165141451492,0.5539744162283932,0.37526526920003217,0.5303970135687021,0.3421102581228283,0.1858139936153666,0.4946781928701418,0.4789521512302734,0.4239099445314452,0.35299011577079287,0.632276728680401,0.6418915762659929,0.42053524111289486,0.6705675827019155,0.2506449906809393,0.4180897211748069,0.4137396460535691,0.6411565084071069,0.4909297850409387,0.630508221846798,0.5161851083365697,0.4082838820985762,0.23569829195337358,0.38525520928629975,0.5097061241588926,0.47918787231713816,0.39936590152851026,0.4049440381241235,0.3341363051828834,0.5771753061976161,0.6104566023763829
BCA_MEDIOLANUM,0.4357324530263881,0.2699960496775512,0.21280504262393451,0.7120914161028333,1.0,0.03491298087476682,0.5996608231875696,0.5821953429507325,0.3445875081078374,0.5170915198705255,0.2733670370946113,0.11491318211110302,0.46910966042728874,0.4612911944913895,0.3763045513393582,0.34069420640663156,0.6554734004133298,0.6421435918298952,0.42554679859623934,0.7065121336558527,0.23198245030875145,0.33688004951118417,0.41731650469853276,0.6614426202725535,0.44055742657187896,0.6395433344256262,0.47266606740410283,0.3443243186515471,0.23702568312427819,0.3240515096708176,0.5267799842038953,0.4338501092933435,0.38370853169952684,0.38115350507354373,0.28966818080325685,0.6603143614521011,0.5968751668806767
BCA_MPS,0.04860816349461371,-0.009380991011210017,-0.01704383692607084,0.032742499789482724,0.03491298087476682,1.0,0.01847321557660109,0.03702381006617638,-0.0020305889480170115,-0.013049916126647021,0.010509746476188166,0.010058941266350182,0.01887684742392425,-0.00842804216189412,-0.009812957302364294,-0.016251819217695616,0.021122412207620338,0.004368264107452598,0.006337725611788113,0.020673618558847067,-0.00106954414923731,0.004832567346667496,-0.0046275742837925985,0.015929161745530857,0.0065613992548158775,0.011469445417674118,-0.016326749106059756,-0.014008131896741702,-0.017759863594363712,-0.02887004764955066,0.0025348402150418563,-0.01340694309910944,-0.026603041110287523,-0.014916572210969783,-0.017067377373852343,0.01982862085441889,0.0029885431913544255
BCO_BPM,0.3698575680476688,0.17665425828714185,0.19012917456284317,0.5536165141451492,0.5996608231875696,0.01847321557660109,1.0,0.7387533788812432,0.254336257876263,0.46409712649536944,0.22203562313188088,0.024537531438799238,0.41077203593256784,0.44942886773742424,0.30521496002415377,0.35466524663701005,0.5866032872460907,0.5591270812556227,0.32600982859384114,0.7372227902528695,0.1755385806378988,0.28972083235120305,0.38005362259006314,0.6475672615858533,0.3367562004514852,0.5874558688096556,0.40992389139409735,0.27500876604585067,0.26587522057400625,0.308063285755384,0.4537099248774708,0.3301172267022224,0.41400467936987784,0.40079323113123616,0.23716252725581535,0.7414532350325584,0.5699593662394189
BPER_BANCA,0.3623286831248482,0.1670070024410848,0.1796101984240229,0.5539744162283932,0.5821953429507325,0.03702381006617638,0.7387533788812432,1.0,0.24029070932046884,0.42820872828487644,0.20994694194226365,0.005487536730126698,0.40438332531567767,0.4488474032254199,0.2758088058884884,0.38496238791046544,0.5474410101937831,0.5785920402386139,0.33492653630653363,0.7192819551837266,0.16857974793582153,0.28975492237910305,0.3884211071477766,0.6171955497239547,0.36131364340084615,0.5594931779978,0.3758921347530949,0.25278322920780255,0.2571340324339536,0.2756243141010946,0.4342444136915149,0.3309500661962537,0.3831298428145797,0.37674813898569126,0.1946616025822753,0.7123073792858898,0.5818792282182914
BRUNELLO CUC,0.24023966472535338,0.2742905606410666,0.11983164036483586,0.37526526920003217,0.3445875081078374,-0.0020305889480170115,0.254336257876263,0.24029070932046884,1.0,0.30443578423169243,0.3029553060885558,0.21401073705642154,0.2416204848598013,0.23858042749165115,0.37920527186620606,0.16554360867836404,0.3345499058275274,0.310010500160615,0.23226048770699453,0.3396958125144753,0.17242153459409687,0.21344999255894762,0.1767733445405122,0.30049624392941304,0.579343602424475,0.2785969892157202,0.30635063869703294,0.2643552305618108,0.14035485384598503,0.1895959741835001,0.3603332750001149,0.34708612221681867,0.1891706755637939,0.2589677550527636,0.14659645437670335,0.28033805475646373,0.28081723978972695
BUZZI,0.33427298397762334,0.22778325905252675,0.20061549787833946,0.5303970135687021,0.5170915198705255,-0.013049916126647021,0.46409712649536944,0.42820872828487644,0.30443578423169243,1.0,0.2372232499400317,0.11998654820899786,0.38918566701257207,0.4147296208745052,0.351124691246869,0.2754791407264695,0.48263702816613857,0.5114450159135479,0.30110309072812025,0.5592874188379162,0.1623619576086179,0.25357325993861096,0.37962129075002954,0.5249726047980647,0.391550679849019,0.49493508433010963,0.45695552664858846,0.29434620518687343,0.22468760411782857,0.24463558430767293,0.4678457552814471,0.42305950425572586,0.301108836736136,0.38473209188114704,0.19580594995790232,0.5224543289717901,0.4679159971355012
